Latitude,Longitude,Depth,Magnitude,No,Cluster
0.838,0.076,0.012,0.309,14232,0
0.749,0.682,0.024,0.415,14233,1
0.49,0.738,0.012,0.241,14234,0
0.837,0.075,0.012,0.267,14235,0
0.657,0.076,0.029,0.299,14236,0
0.161,0.538,0.231,0.569,14237,3
0.844,0.075,0.012,0.322,14238,0
0.857,0.732,0.025,0.523,14239,1
0.669,0.059,0.02,0.433,14240,1
0.824,0.671,0.012,0.439,14241,1
0.188,0.267,0.024,0.436,14242,1
0.552,0.551,0.025,0.454,14243,1
0.48,0.746,0.012,0.264,14244,0
0.395,0.842,0.144,0.472,14245,3
0.742,0.608,0.518,0.402,14246,2
0.072,0.49,0.012,0.297,14247,0
0.72,0.601,0.012,0.4,14248,0
0.293,0.77,0.012,0.514,14249,1
0.221,0.308,0.234,0.324,14250,3
0.907,0.028,0.023,0.29,14251,0
0.815,0.722,0.072,0.675,14252,1
0.842,0.076,0.012,0.391,14253,0
0.282,0.769,0.164,0.587,14254,1
0.073,0.418,0.012,0.383,14255,0
0.842,0.075,0.012,0.23,14256,0
0.831,0.071,0.012,0.225,14257,0
0.839,0.077,0.012,0.381,14258,0
0.489,0.749,0.017,0.312,14259,0
0.658,0.586,0.263,0.45,14260,3
0.442,0.594,0.012,0.422,14261,1
0.494,0.737,0.017,0.465,14262,1
0.494,0.737,0.012,0.461,14263,1
0.668,0.571,0.036,0.298,14264,0
0.492,0.737,0.012,0.524,14265,1
0.67,0.078,0.012,0.295,14266,0
0.583,0.58,0.202,0.312,14267,3
0.134,0.393,0.154,0.363,14268,3
0.704,0.57,0.032,0.462,14269,1
0.496,0.737,0.012,0.39,14270,0
0.839,0.693,0.012,0.482,14271,1
0.762,0.686,0.012,0.475,14272,1
0.495,0.736,0.012,0.311,14273,0
0.827,0.692,0.012,0.424,14274,1
0.504,0.741,0.012,0.298,14275,0
0.766,0.706,0.14,0.391,14276,3
0.131,0.234,0.012,0.558,14277,1
0.108,0.353,0.012,0.452,14278,1
0.728,0.666,0.012,0.409,14279,1
0.08,0.386,0.012,0.385,14280,0
0.111,0.353,0.012,0.417,14281,1
0.082,0.387,0.012,0.397,14282,0
0.817,0.721,0.012,0.417,14283,1
0.379,0.18,0.012,0.389,14284,0
0.923,0.704,0.143,0.492,14285,3
0.379,0.18,0.012,0.364,14286,0
0.414,0.737,0.012,0.305,14287,0
0.435,0.746,0.02,0.273,14288,0
0.81,0.009,0.024,0.561,14289,1
0.174,0.606,0.271,0.37,14290,3
0.505,0.736,0.012,0.443,14291,1
0.206,0.778,0.119,0.532,14292,1
0.542,0.102,0.012,0.499,14293,1
0.195,0.728,0.184,0.51,14294,3
0.405,0.544,0.012,0.231,14295,0
0.742,0.092,0.012,0.355,14296,0
0.427,0.709,0.012,0.399,14297,0
0.425,0.71,0.012,0.246,14298,0
0.593,0.55,0.049,0.57,14299,1
0.488,0.751,0.013,0.335,14300,0
0.838,0.073,0.013,0.357,14301,0
0.839,0.076,0.012,0.344,14302,0
0.479,0.72,0.037,0.231,14303,0
0.412,0.126,0.023,0.398,14304,0
0.439,0.135,0.029,0.369,14305,0
0.205,0.715,0.298,0.508,14306,3
0.1,0.391,0.012,0.324,14307,0
0.194,0.71,0.255,0.499,14308,3
0.265,0.718,0.446,0.447,14309,2
0.666,0.542,0.016,0.337,14310,0
0.209,0.245,0.035,0.352,14311,0
0.731,0.699,0.166,0.494,14312,3
0.663,0.668,0.033,0.397,14313,0
0.64,0.606,0.027,0.247,14314,0
0.307,0.84,0.023,0.615,14315,1
0.524,0.111,0.012,0.322,14316,0
0.162,0.272,0.023,0.269,14317,0
0.495,0.736,0.012,0.399,14318,0
0.493,0.736,0.016,0.314,14319,0
0.705,0.553,0.012,0.222,14320,0
0.103,0.491,0.072,0.257,14321,0
0.435,0.559,0.029,0.402,14322,0
0.627,0.041,0.063,0.553,14323,1
0.002,0.579,0.052,0.554,14324,1
0.186,0.252,0.044,0.278,14325,0
0.868,0.037,0.088,0.328,14326,0
0.585,0.907,0.027,0.537,14327,1
0.185,0.262,0.061,0.553,14328,1
0.836,0.074,0.013,0.27,14329,0
0.863,0.729,0.041,0.503,14330,1
0.204,0.743,0.158,0.529,14331,3
0.095,0.489,0.036,0.391,14332,0
0.557,0.852,0.015,0.457,14333,1
0.561,0.231,0.012,0.481,14334,1
0.668,0.078,0.012,0.329,14335,0
0.249,0.753,0.332,0.523,14336,3
0.609,0.787,0.019,0.263,14337,0
0.608,0.829,0.012,0.366,14338,0
0.505,0.737,0.012,0.418,14339,1
0.84,0.075,0.012,0.262,14340,0
0.227,0.767,0.228,0.52,14341,3
0.708,0.673,0.142,0.516,14342,1
0.176,0.631,0.234,0.418,14343,3
0.838,0.076,0.012,0.324,14344,0
0.777,0.701,0.103,0.558,14345,1
0.908,0.7,0.1,0.485,14346,1
0.474,0.172,0.32,0.471,14347,3
0.298,0.781,0.219,0.529,14348,3
0.832,0.077,0.012,0.324,14349,0
0.638,0.607,0.199,0.348,14350,3
0.496,0.737,0.013,0.576,14351,1
0.501,0.736,0.015,0.385,14352,0
0.7,0.627,0.012,0.37,14353,0
0.502,0.739,0.015,0.346,14354,0
0.078,0.389,0.053,0.559,14355,1
0.169,0.51,0.134,0.423,14356,3
0.823,0.085,0.012,0.231,14357,0
0.198,0.253,0.027,0.42,14358,1
0.5,0.11,0.111,0.266,14359,0
0.174,0.26,0.041,0.288,14360,0
0.185,0.598,0.336,0.466,14361,3
0.146,0.475,0.029,0.372,14362,0
0.521,0.722,0.016,0.363,14363,0
0.851,0.694,0.092,0.512,14364,1
0.089,0.464,0.052,0.49,14365,1
0.788,0.693,0.029,0.452,14366,1
0.72,0.086,0.113,0.344,14367,0
0.634,0.606,0.021,0.291,14368,0
0.082,0.388,0.06,0.552,14369,1
0.473,0.979,0.096,0.335,14370,0
0.085,0.389,0.029,0.433,14371,1
0.728,0.766,0.037,0.412,14372,1
0.215,0.727,0.248,0.44,14373,3
0.747,0.604,0.024,0.316,14374,0
0.148,0.475,0.017,0.403,14375,1
0.647,0.604,0.208,0.221,14376,0
0.653,0.657,0.015,0.45,14377,1
0.393,0.756,0.147,0.441,14378,3
0.641,0.655,0.021,0.378,14379,0
0.181,0.597,0.34,0.469,14380,3
0.841,0.078,0.012,0.44,14381,1
0.231,0.737,0.336,0.498,14382,3
0.643,0.593,0.036,0.329,14383,0
0.101,0.587,0.055,0.481,14384,1
0.54,0.086,0.057,0.508,14385,1
0.268,0.576,0.021,0.474,14386,1
0.664,0.634,0.023,0.503,14387,1
0.498,0.736,0.012,0.333,14388,0
0.099,0.39,0.019,0.35,14389,0
0.596,0.551,0.012,0.287,14390,0
0.497,0.736,0.012,0.259,14391,0
0.522,0.977,0.015,0.429,14392,1
0.833,0.077,0.012,0.231,14393,0
0.776,0.063,0.051,0.336,14394,0
0.249,0.758,0.258,0.518,14395,3
0.589,0.694,0.033,0.319,14396,0
0.506,0.17,0.02,0.387,14397,0
0.208,0.732,0.272,0.446,14398,3
0.455,0.885,0.032,0.413,14399,1
0.576,0.584,0.015,0.479,14400,1
0.576,0.585,0.027,0.265,14401,0
0.837,0.076,0.012,0.401,14402,0
0.658,0.676,0.015,0.313,14403,0
0.634,0.612,0.101,0.229,14404,0
0.232,0.661,0.67,0.632,14405,2
0.407,0.539,0.012,0.272,14406,0
0.636,0.653,0.012,0.476,14407,1
0.607,0.789,0.02,0.274,14408,0
0.113,0.49,0.121,0.277,14409,0
0.209,0.304,0.287,0.335,14410,3
0.601,0.574,0.012,0.398,14411,0
0.758,0.09,0.012,0.261,14412,0
0.571,0.849,0.015,0.351,14413,0
0.151,0.309,0.049,0.317,14414,0
0.439,0.983,0.012,0.317,14415,0
0.274,0.595,0.021,0.582,14416,1
0.502,0.737,0.019,0.303,14417,0
0.608,0.791,0.012,0.523,14418,1
0.286,0.224,0.012,0.29,14419,0
0.655,0.677,0.012,0.449,14420,1
0.636,0.607,0.031,0.317,14421,0
0.114,0.489,0.024,0.249,14422,0
0.281,0.596,0.024,0.432,14423,1
0.209,0.242,0.016,0.444,14424,1
0.297,0.16,0.052,0.597,14425,1
0.732,0.611,0.012,0.303,14426,0
0.123,0.49,0.012,0.433,14427,1
0.259,0.449,0.742,0.576,14428,2
0.131,0.491,0.012,0.426,14429,1
0.283,0.764,0.256,0.517,14430,3
0.603,0.789,0.012,0.423,14431,1
0.292,0.195,0.227,0.258,14432,3
0.671,0.045,0.064,0.507,14433,1
0.676,0.62,0.012,0.297,14434,0
0.104,0.516,0.117,0.449,14435,1
0.601,0.787,0.012,0.486,14436,1
0.603,0.79,0.021,0.392,14437,0
0.154,0.537,0.235,0.576,14438,3
0.147,0.581,0.227,0.58,14439,3
0.484,0.158,0.208,0.451,14440,3
0.699,0.051,0.031,0.475,14441,1
0.506,0.981,0.031,0.567,14442,1
0.257,0.722,0.439,0.523,14443,2
0.123,0.242,0.019,0.509,14444,1
0.605,0.792,0.012,0.345,14445,0
0.558,0.122,0.012,0.321,14446,0
0.096,0.445,0.017,0.312,14447,0
0.657,0.592,0.188,0.237,14448,0
0.754,0.706,0.22,0.4,14449,3
0.291,0.778,0.19,0.53,14450,3
0.646,0.623,0.089,0.481,14451,1
0.661,0.585,0.246,0.48,14452,3
0.577,0.692,0.012,0.428,14453,1
0.579,0.691,0.012,0.271,14454,0
0.616,0.616,0.015,0.453,14455,1
0.491,0.73,0.012,0.248,14456,0
0.58,0.692,0.012,0.44,14457,1
0.767,0.692,0.012,0.421,14458,1
0.403,0.744,0.012,0.38,14459,0
0.728,0.586,0.012,0.255,14460,0
0.182,0.544,0.059,0.404,14461,1
0.584,0.693,0.041,0.398,14462,0
0.717,0.581,0.015,0.305,14463,0
0.699,0.627,0.316,0.556,14464,3
0.795,0.693,0.012,0.406,14465,1
0.21,0.25,0.043,0.309,14466,0
0.101,0.371,0.025,0.452,14467,1
0.726,0.558,0.039,0.294,14468,0
0.498,0.706,0.071,0.357,14469,0
0.479,0.72,0.016,0.401,14470,0
0.658,0.573,0.202,0.249,14471,0
0.151,0.305,0.024,0.348,14472,0
0.112,0.332,0.012,0.514,14473,1
0.841,0.076,0.012,0.324,14474,0
0.074,0.263,0.013,0.573,14475,1
0.548,0.545,0.033,0.45,14476,1
0.405,0.7,0.377,0.395,14477,3
0.501,0.734,0.024,0.355,14478,0
0.241,0.757,0.247,0.462,14479,3
0.47,0.713,0.017,0.349,14480,0
0.143,0.393,0.192,0.529,14481,3
0.503,0.735,0.023,0.462,14482,1
0.608,0.786,0.012,0.409,14483,1
0.72,0.695,0.109,0.372,14484,0
0.518,0.972,0.109,0.486,14485,1
0.207,0.571,0.75,0.493,14486,2
0.208,0.747,0.148,0.569,14487,1
0.199,0.259,0.092,0.586,14488,1
0.493,0.963,0.02,0.602,14489,1
0.383,0.958,0.163,0.524,14490,3
0.642,0.677,0.073,0.457,14491,1
0.668,0.628,0.259,0.445,14492,3
0.507,0.996,0.053,0.603,14493,1
0.696,0.601,0.036,0.226,14494,0
0.462,0.966,0.012,0.512,14495,1
0.84,0.075,0.012,0.259,14496,0
0.843,0.079,0.012,0.351,14497,0
0.138,0.51,0.131,0.526,14498,1
0.838,0.075,0.012,0.225,14499,0
0.841,0.078,0.012,0.39,14500,0
0.842,0.076,0.012,0.529,14501,1
0.84,0.076,0.012,0.32,14502,0
0.836,0.076,0.012,0.274,14503,0
0.84,0.076,0.012,0.527,14504,1
0.844,0.077,0.012,0.465,14505,1
0.841,0.076,0.012,0.311,14506,0
0.838,0.076,0.012,0.293,14507,0
0.635,0.605,0.067,0.25,14508,0
0.719,0.569,0.051,0.307,14509,0
0.199,0.238,0.012,0.377,14510,0
0.731,0.723,0.072,0.359,14511,0
0.526,0.121,0.028,0.295,14512,0
0.188,0.505,0.012,0.364,14513,0
0.955,0.024,0.012,0.377,14514,0
0.651,0.597,0.164,0.232,14515,0
0.141,0.341,0.065,0.366,14516,0
0.062,0.361,0.012,0.38,14517,0
0.161,0.628,0.232,0.443,14518,3
0.841,0.076,0.012,0.267,14519,0
0.842,0.077,0.012,0.402,14520,0
0.636,0.609,0.097,0.61,14521,1
0.556,0.094,0.036,0.349,14522,0
0.465,0.723,0.053,0.237,14523,0
0.842,0.077,0.012,0.381,14524,0
0.836,0.075,0.012,0.287,14525,0
0.743,0.703,0.171,0.565,14526,3
0.713,0.581,0.023,0.324,14527,0
0.843,0.077,0.012,0.503,14528,1
0.511,0.947,0.021,0.545,14529,1
0.111,0.402,0.012,0.268,14530,0
0.082,0.503,0.012,0.287,14531,0
0.837,0.077,0.012,0.366,14532,0
0.689,0.065,0.012,0.315,14533,0
0.255,0.202,0.012,0.505,14534,1
0.353,0.173,0.029,0.52,14535,1
0.083,0.449,0.099,0.571,14536,1
0.117,0.337,0.044,0.437,14537,1
0.649,0.642,0.028,0.515,14538,1
0.095,0.372,0.052,0.552,14539,1
0.518,0.96,0.049,0.61,14540,1
0.799,0.017,0.019,0.499,14541,1
0.842,0.644,0.31,0.4,14542,3
0.505,0.709,0.04,0.524,14543,1
0.203,0.73,0.033,0.57,14544,1
0.966,0.03,0.012,0.343,14545,0
0.839,0.076,0.012,0.27,14546,0
0.833,0.076,0.012,0.253,14547,0
0.159,0.492,0.284,0.588,14548,3
0.804,0.665,0.012,0.469,14549,1
0.406,0.925,0.198,0.591,14550,3
0.842,0.076,0.012,0.465,14551,1
0.149,0.556,0.219,0.412,14552,3
0.181,0.288,0.093,0.614,14553,1
0.841,0.074,0.012,0.272,14554,0
0.846,0.076,0.012,0.558,14555,1
0.844,0.077,0.012,0.459,14556,1
0.841,0.075,0.012,0.303,14557,0
0.496,0.956,0.063,0.523,14558,1
0.845,0.075,0.012,0.614,14559,1
0.52,0.958,0.073,0.519,14560,1
0.845,0.075,0.012,0.4,14561,0
0.842,0.075,0.012,0.411,14562,1
0.844,0.075,0.016,0.248,14563,0
0.845,0.074,0.012,0.311,14564,0
0.839,0.073,0.012,0.261,14565,0
0.839,0.074,0.019,0.273,14566,0
0.776,0.65,0.267,0.544,14567,3
0.841,0.076,0.012,0.382,14568,0
0.842,0.075,0.012,0.331,14569,0
0.847,0.076,0.012,0.452,14570,1
0.472,0.742,0.016,0.418,14571,1
0.25,0.239,0.1,0.426,14572,1
0.841,0.076,0.012,0.258,14573,0
0.478,0.741,0.013,0.399,14574,0
0.144,0.462,0.156,0.379,14575,3
0.396,0.685,0.415,0.467,14576,3
0.842,0.076,0.012,0.363,14577,0
0.844,0.076,0.012,0.416,14578,1
0.827,0.081,0.012,0.233,14579,0
0.86,0.659,0.023,0.42,14580,1
0.124,0.552,0.17,0.488,14581,3
0.84,0.074,0.012,0.284,14582,0
0.838,0.077,0.012,0.237,14583,0
0.602,0.787,0.012,0.373,14584,0
0.624,0.634,0.019,0.291,14585,0
0.665,0.041,0.02,0.31,14586,0
0.127,0.408,0.029,0.225,14587,0
0.476,0.756,0.045,0.543,14588,1
0.476,0.755,0.021,0.408,14589,1
0.012,0.398,0.051,0.357,14590,0
0.488,0.736,0.012,0.327,14591,0
0.888,0.694,0.051,0.543,14592,1
0.502,0.739,0.023,0.275,14593,0
0.238,0.257,0.012,0.413,14594,1
0.84,0.075,0.012,0.277,14595,0
0.214,0.744,0.231,0.514,14596,3
0.143,0.425,0.113,0.339,14597,0
0.713,0.584,0.012,0.304,14598,0
0.84,0.075,0.012,0.346,14599,0
0.839,0.075,0.012,0.239,14600,0
0.872,0.692,0.079,0.597,14601,1
0.676,0.103,0.186,0.496,14602,3
0.193,0.267,0.08,0.611,14603,1
0.952,0.025,0.035,0.64,14604,1
0.956,0.024,0.037,0.586,14605,1
0.819,0.688,0.012,0.461,14606,1
0.778,0.678,0.041,0.45,14607,1
0.562,0.153,0.307,0.438,14608,3
0.658,0.617,0.31,0.345,14609,3
0.094,0.495,0.012,0.34,14610,0
0.262,0.194,0.036,0.525,14611,1
0.481,0.692,0.012,0.307,14612,0
0.504,0.593,0.04,0.467,14613,1
0.76,0.697,0.084,0.491,14614,1
0.09,0.478,0.087,0.266,14615,0
0.399,0.851,0.051,0.557,14616,1
0.207,0.728,0.2,0.534,14617,3
0.911,0.03,0.016,0.56,14618,1
0.285,0.712,0.615,0.456,14619,2
0.644,0.054,0.013,0.368,14620,0
0.482,0.718,0.015,0.32,14621,0
0.392,0.157,0.033,0.405,14622,1
0.649,0.663,0.025,0.361,14623,0
0.416,0.73,0.012,0.297,14624,0
0.482,0.715,0.021,0.316,14625,0
0.503,0.98,0.021,0.557,14626,1
0.486,0.715,0.015,0.247,14627,0
0.756,0.574,0.012,0.223,14628,0
0.136,0.325,0.027,0.312,14629,0
0.509,0.713,0.012,0.227,14630,0
0.568,0.053,0.033,0.519,14631,1
0.18,0.63,0.227,0.46,14632,3
0.169,0.512,0.012,0.518,14633,1
0.881,0.694,0.063,0.536,14634,1
0.435,0.742,0.113,0.389,14635,0
0.75,0.093,0.012,0.225,14636,0
0.273,0.189,0.033,0.304,14637,0
0.227,0.672,0.686,0.476,14638,2
0.671,0.624,0.203,0.286,14639,3
0.186,0.267,0.04,0.326,14640,0
0.119,0.626,0.138,0.381,14641,3
0.051,0.522,0.013,0.433,14642,1
0.889,0.693,0.04,0.442,14643,1
0.611,0.584,0.012,0.256,14644,0
0.049,0.39,0.015,0.416,14645,1
0.112,0.391,0.021,0.381,14646,0
0.763,0.683,0.029,0.389,14647,0
0.635,0.605,0.021,0.276,14648,0
0.64,0.581,0.031,0.303,14649,0
0.031,0.606,0.012,0.424,14650,1
0.106,0.47,0.012,0.539,14651,1
0.091,0.514,0.065,0.357,14652,0
0.554,0.857,0.021,0.364,14653,0
0.634,0.61,0.075,0.29,14654,0
0.109,0.47,0.012,0.368,14655,0
0.26,0.208,0.08,0.587,14656,1
0.169,0.28,0.08,0.544,14657,1
0.152,0.544,0.247,0.469,14658,3
0.026,0.456,0.057,0.527,14659,1
0.725,0.695,0.138,0.368,14660,3
0.17,0.268,0.019,0.283,14661,0
0.029,0.456,0.075,0.449,14662,1
0.633,0.607,0.02,0.304,14663,0
0.748,0.592,0.043,0.277,14664,0
0.179,0.325,0.105,0.345,14665,0
0.783,0.005,0.012,0.556,14666,1
0.225,0.394,0.012,0.396,14667,0
0.273,0.189,0.012,0.326,14668,0
0.111,0.47,0.025,0.275,14669,0
0.308,0.192,0.028,0.271,14670,0
0.041,0.459,0.012,0.405,14671,1
0.232,0.669,0.685,0.506,14672,2
0.174,0.253,0.012,0.381,14673,0
0.236,0.263,0.012,0.262,14674,0
0.08,0.484,0.012,0.441,14675,1
0.165,0.511,0.012,0.439,14676,1
0.196,0.25,0.033,0.377,14677,0
0.584,0.622,0.012,0.335,14678,0
0.127,0.627,0.176,0.441,14679,3
0.754,0.683,0.012,0.418,14680,1
0.492,0.75,0.013,0.436,14681,1
0.153,0.307,0.024,0.241,14682,0
0.477,0.724,0.012,0.272,14683,0
0.63,0.608,0.105,0.293,14684,0
0.256,0.766,0.244,0.49,14685,3
0.862,0.004,0.012,0.437,14686,1
0.344,0.208,0.139,0.439,14687,3
0.459,0.783,0.037,0.339,14688,0
0.087,0.421,0.079,0.398,14689,0
0.404,0.752,0.012,0.329,14690,0
0.765,0.667,0.04,0.457,14691,1
0.099,0.488,0.109,0.254,14692,0
0.375,0.586,0.012,0.332,14693,0
0.925,0.704,0.096,0.58,14694,1
0.839,0.075,0.015,0.26,14695,0
0.84,0.076,0.012,0.26,14696,0
0.841,0.078,0.012,0.265,14697,0
0.677,0.57,0.077,0.397,14698,0
0.722,0.088,0.134,0.421,14699,3
0.273,0.768,0.252,0.442,14700,3
0.792,0.824,0.012,0.52,14701,1
0.018,0.44,0.012,0.474,14702,1
0.191,0.713,0.17,0.429,14703,3
0.383,0.522,0.012,0.224,14704,0
0.523,0.959,0.033,0.401,14705,0
0.092,0.388,0.012,0.331,14706,0
0.09,0.467,0.049,0.33,14707,0
0.472,0.736,0.012,0.244,14708,0
0.188,0.268,0.036,0.223,14709,0
0.514,0.152,0.212,0.445,14710,3
0.84,0.076,0.012,0.401,14711,0
0.636,0.613,0.191,0.351,14712,3
0.842,0.076,0.012,0.35,14713,0
0.761,0.088,0.156,0.35,14714,3
0.397,0.17,0.135,0.479,14715,3
0.14,0.507,0.158,0.472,14716,3
0.525,0.686,0.012,0.303,14717,0
0.639,0.653,0.012,0.345,14718,0
0.615,0.596,0.023,0.245,14719,0
0.338,0.177,0.024,0.263,14720,0
0.547,0.103,0.012,0.429,14721,1
0.136,0.489,0.012,0.525,14722,1
0.638,0.609,0.132,0.249,14723,0
0.185,0.267,0.043,0.3,14724,0
0.214,0.729,0.284,0.477,14725,3
0.621,0.614,0.012,0.233,14726,0
0.179,0.717,0.069,0.489,14727,1
0.286,0.214,0.012,0.294,14728,0
0.658,0.775,0.012,0.378,14729,0
0.918,0.044,0.23,0.569,14730,3
0.086,0.524,0.044,0.433,14731,1
0.206,0.254,0.049,0.327,14732,0
0.727,0.569,0.012,0.382,14733,0
0.19,0.418,0.013,0.226,14734,0
0.21,0.779,0.105,0.578,14735,1
0.663,0.593,0.216,0.441,14736,3
0.958,0.025,0.012,0.517,14737,1
0.639,0.621,0.085,0.484,14738,1
0.587,0.693,0.021,0.559,14739,1
0.635,0.607,0.012,0.394,14740,0
0.472,0.739,0.012,0.259,14741,0
0.277,0.199,0.012,0.384,14742,0
0.643,0.613,0.162,0.264,14743,0
0.446,0.149,0.051,0.303,14744,0
0.229,0.76,0.218,0.522,14745,3
0.768,0.727,0.033,0.508,14746,1
0.733,0.6,0.027,0.542,14747,1
0.165,0.299,0.128,0.468,14748,1
0.645,0.605,0.012,0.254,14749,0
0.484,0.708,0.021,0.234,14750,0
0.397,0.152,0.068,0.572,14751,1
0.098,0.536,0.052,0.333,14752,0
0.152,0.296,0.068,0.32,14753,0
0.087,0.339,0.039,0.355,14754,0
0.838,0.693,0.067,0.536,14755,1
0.132,0.373,0.044,0.252,14756,0
0.194,0.283,0.136,0.294,14757,0
0.642,0.613,0.168,0.441,14758,3
0.581,0.705,0.084,0.293,14759,0
0.199,0.713,0.29,0.457,14760,3
0.425,0.836,0.033,0.431,14761,1
0.786,0.01,0.015,0.558,14762,1
0.747,0.095,0.222,0.503,14763,3
0.034,0.405,0.04,0.355,14764,0
0.138,0.524,0.032,0.447,14765,1
0.581,0.746,0.012,0.302,14766,0
0.501,0.124,0.031,0.442,14767,1
0.405,0.751,0.012,0.347,14768,0
0.475,0.716,0.012,0.261,14769,0
0.102,0.398,0.027,0.517,14770,1
0.736,0.689,0.072,0.555,14771,1
0.834,0.076,0.012,0.229,14772,0
0.842,0.077,0.012,0.396,14773,0
0.932,0.691,0.146,0.534,14774,1
0.862,0.71,0.223,0.521,14775,3
0.509,0.57,0.02,0.394,14776,0
0.374,0.842,0.067,0.535,14777,1
0.906,0.033,0.012,0.485,14778,1
0.458,0.144,0.088,0.433,14779,1
0.108,0.515,0.103,0.452,14780,1
0.169,0.51,0.235,0.333,14781,3
0.573,0.708,0.012,0.542,14782,1
0.757,0.688,0.06,0.54,14783,1
0.72,0.559,0.012,0.288,14784,0
0.496,0.904,0.036,0.49,14785,1
0.495,0.905,0.016,0.51,14786,1
0.497,0.744,0.012,0.546,14787,1
0.441,0.788,0.107,0.497,14788,1
0.771,0.57,0.056,0.313,14789,0
0.671,0.579,0.045,0.227,14790,0
0.637,0.61,0.183,0.439,14791,3
0.521,0.902,0.151,0.444,14792,3
0.776,0.584,0.012,0.557,14793,1
0.185,0.481,0.389,0.427,14794,3
0.188,0.706,0.244,0.523,14795,3
0.64,0.604,0.023,0.283,14796,0
0.269,0.761,0.206,0.62,14797,3
0.65,0.552,0.012,0.348,14798,0
0.64,0.687,0.035,0.318,14799,0
0.495,0.745,0.012,0.279,14800,0
0.641,0.609,0.108,0.237,14801,0
0.601,0.786,0.012,0.384,14802,0
0.804,0.008,0.027,0.405,14803,1
0.493,0.745,0.031,0.336,14804,0
0.125,0.394,0.138,0.329,14805,0
0.28,0.392,0.79,0.517,14806,2
0.641,0.614,0.18,0.27,14807,0
0.131,0.553,0.17,0.403,14808,3
0.307,0.186,0.012,0.381,14809,0
0.16,0.341,0.079,0.34,14810,0
0.647,0.597,0.176,0.253,14811,0
0.282,0.197,0.012,0.388,14812,0
0.94,0.671,0.166,0.519,14813,3
0.53,0.962,0.029,0.446,14814,1
0.624,0.776,0.061,0.404,14815,1
0.49,0.746,0.012,0.376,14816,0
0.643,0.644,0.012,0.427,14817,1
0.204,0.239,0.012,0.321,14818,0
0.711,0.697,0.031,0.424,14819,1
0.489,0.13,0.041,0.478,14820,1
0.601,0.575,0.012,0.47,14821,1
0.399,0.757,0.017,0.475,14822,1
0.225,0.674,0.652,0.477,14823,2
0.228,0.224,0.012,0.341,14824,0
0.535,0.114,0.012,0.404,14825,1
0.401,0.953,0.159,0.499,14826,3
0.647,0.61,0.214,0.441,14827,3
0.802,0.723,0.216,0.527,14828,3
0.598,0.55,0.012,0.402,14829,0
0.647,0.629,0.067,0.302,14830,0
0.63,0.607,0.012,0.296,14831,0
0.094,0.478,0.043,0.336,14832,0
0.298,0.715,0.514,0.472,14833,2
0.103,0.337,0.012,0.34,14834,0
0.672,0.681,0.025,0.4,14835,0
0.634,0.604,0.032,0.284,14836,0
0.637,0.751,0.096,0.422,14837,1
0.73,0.683,0.012,0.343,14838,0
0.71,0.555,0.015,0.386,14839,0
0.72,0.554,0.024,0.413,14840,1
0.727,0.699,0.023,0.388,14841,0
0.719,0.686,0.033,0.47,14842,1
0.444,0.734,0.012,0.228,14843,0
0.53,0.72,0.029,0.333,14844,0
0.192,0.259,0.02,0.461,14845,1
0.23,0.76,0.216,0.482,14846,3
0.691,0.591,0.056,0.245,14847,0
0.493,0.745,0.016,0.266,14848,0
0.168,0.556,0.012,0.426,14849,1
0.069,0.51,0.012,0.442,14850,1
0.611,0.793,0.012,0.3,14851,0
0.69,0.627,0.326,0.513,14852,3
0.271,0.155,0.013,0.627,14853,1
0.606,0.591,0.012,0.5,14854,1
0.406,0.84,0.012,0.481,14855,1
0.612,0.594,0.015,0.392,14856,0
0.521,0.457,0.012,0.529,14857,1
0.744,0.687,0.013,0.396,14858,0
0.259,0.775,0.16,0.529,14859,3
0.169,0.55,0.012,0.44,14860,1
0.288,0.228,0.012,0.383,14861,0
0.783,0.729,0.08,0.597,14862,1
0.113,0.33,0.017,0.445,14863,1
0.355,0.175,0.033,0.377,14864,0
0.099,0.477,0.044,0.397,14865,0
0.63,0.078,0.069,0.441,14866,1
0.471,0.696,0.013,0.34,14867,0
0.45,0.996,0.012,0.583,14868,1
0.292,0.242,0.278,0.396,14869,3
0.284,0.79,0.126,0.55,14870,1
0.46,0.927,0.012,0.555,14871,1
0.636,0.589,0.175,0.226,14872,0
0.495,0.957,0.012,0.479,14873,1
0.203,0.323,0.012,0.268,14874,0
0.443,0.76,0.012,0.374,14875,0
0.784,0.726,0.291,0.502,14876,3
0.27,0.236,0.104,0.317,14877,0
0.167,0.585,0.012,0.396,14878,0
0.457,0.777,0.012,0.408,14879,1
0.492,0.154,0.166,0.331,14880,3
0.756,0.71,0.256,0.422,14881,3
0.382,0.754,0.211,0.555,14882,3
0.587,0.553,0.025,0.461,14883,1
0.184,0.267,0.04,0.299,14884,0
0.202,0.692,0.394,0.479,14885,3
0.449,0.777,0.085,0.519,14886,1
0.455,0.777,0.012,0.366,14887,0
0.45,0.777,0.071,0.408,14888,1
0.222,0.747,0.272,0.522,14889,3
0.455,0.777,0.012,0.424,14890,1
0.521,0.955,0.012,0.535,14891,1
0.2,0.722,0.226,0.483,14892,3
0.485,0.749,0.021,0.437,14893,1
0.619,0.799,0.012,0.239,14894,0
0.804,0.727,0.307,0.452,14895,3
0.139,0.507,0.154,0.415,14896,3
